assigned_to,component,creation_time,id,keywords,last_change_time,priority,product,resolution,severity,status,summary,whiteboard
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Settings,2013-02-04T14:45:27Z,837664,[],2013-03-19T00:56:52Z,--,Firefox OS,FIXED,critical,RESOLVED,"[Settings] When turning on cell data for the first time, it is enabled even before responding to the secondary prompt",[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Settings,2013-02-25T19:17:28Z,844955,[],2013-02-27T01:56:41Z,--,Firefox OS,FIXED,normal,RESOLVED,Cannot tap consistently on Display menu item in Settings app,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Everything.me,2013-03-05T15:15:59Z,847935,[],2013-03-12T13:15:02Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,long press to install Everything.Me app fails,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",General,2013-03-07T14:29:55Z,848765,[],2013-03-10T03:34:35Z,--,Firefox OS,FIXED,major,RESOLVED,Cannot connect to cell carrier after flashing to today's build (2013-03-07),[fromAutomation][smoketest 3_7_2013]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::First Time Experience,2013-03-07T22:20:19Z,848988,[],2013-03-07T22:48:00Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,[FTU] Cannot click region or country selects in FTU,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Browser,2013-03-21T14:43:24Z,853444,[u'regression'],2013-04-03T07:48:44Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,tap new tab menu not visible if no url is open,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Everything.me,2013-03-21T19:49:28Z,853595,"[u'regression', u'reproducible']",2013-03-23T18:23:59Z,--,Firefox OS,WORKSFORME,major,RESOLVED,[B2G][Everything.Me] - Categories empty; API call seems good,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Dialer,2013-03-26T16:05:02Z,854916,[],2013-03-29T12:27:53Z,--,Firefox OS,WORKSFORME,normal,RESOLVED,[dialer] Call/Dial button does not work on *#06#,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Cost Control,2013-04-08T12:38:46Z,859285,[],2013-04-08T18:38:36Z,--,Firefox OS,DUPLICATE,major,RESOLVED,[Cost Control] Cell/Wifi data volume not being logged,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Cost Control,2013-04-23T12:19:05Z,864725,[u'regression'],2013-07-08T08:58:32Z,--,Firefox OS,INVALID,major,RESOLVED,Cost control app is not showing content upon app start,[fromAutomation]
